timestamp,mint,ticker,peakPct,peakAtSec,exitPct,holdSec,exitReason
2026-03-15T21:47:45.447Z,A2PREcKxZF5p7Zcn,AGENT,-1.9,1.4,-30.0,6,T5BAIL -27.0% @6s (peak -1.9%)
2026-03-15T21:47:46.955Z,8WZKQxGUWUAqwQ8M,PIGEON,0.9,2.7,-12.1,5,T5BAIL -8.4% @5s (peak 0.9%)
2026-03-15T21:47:53.778Z,95TxxY5b6GLJruMH,Kitbull,-1.7,0.4,-5.6,13,STALE_FEED
2026-03-15T21:47:55.786Z,ET75dJUkZm7oFzSR,SOL,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T21:47:57.795Z,6yqXzJn2avoDty8F,Company,10.1,0.9,-50.7,19,BE -48.6% (peak 10.1%) [stale]
2026-03-15T21:47:59.798Z,5t8MQWAgsBRnJcke,UNITY,-1.9,0.1,-11.4,4,T5BAIL -7.7% @4s (peak -1.9%)
2026-03-15T21:47:59.802Z,BYHRcET3YU1PkKcA,PIGEON,-2.0,3.7,-29.7,9,SL -26.7% [stale]
2026-03-15T21:48:00.498Z,EdQwQPEjZRoGTRn7,MTW COIN,-1.9,0.7,-6.1,5,T5BAIL -2.2% @5s (peak -1.9%)
2026-03-15T21:48:13.846Z,CF1sGUJ4DMhn9w7S,PIGEON,-1.9,1.0,-5.9,14,STALE_FEED
2026-03-15T21:48:15.854Z,HNrJBE1mWnLqzCpa,PIGEON,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T21:48:21.877Z,7vxmC3P87yVSrZjU,DINDIM,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T21:48:23.880Z,91vPfvx8AzzdZsVW,Twinkle,35.5,1.8,-21.3,19,TRAIL -39% (peak 35.5%) [stale]
2026-03-15T21:48:27.891Z,J41HmiYUPnKcp4A4,TOASTGOD,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T21:48:30.256Z,Bo6dKpB9c6VYVkV5,FACE,-1.4,1.8,-5.9,5,T5BAIL -1.9% @5s (peak -1.4%)
2026-03-15T21:48:35.922Z,GzThCEnke4cMyeCy,E,-2.0,1.1,-29.5,8,SL -26.5% [stale]
2026-03-15T21:48:38.167Z,MvdRMKCNjvT3mBq5,N-CASH,-2.0,0.0,-5.9,0,GRADUATED 93SOL
2026-03-15T21:48:58.001Z,5ifWs4AUsk9y2xGN,PIGEON,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T21:49:00.004Z,6cQWKtdwzmmzp4HG,okok,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T21:49:06.019Z,76aacPLUfrSxG2ny,PIGEON,4.5,1.2,0.3,12,STALE_FEED
2026-03-15T21:49:12.023Z,91vPfvx8AzzdZsVW,Twinkle,-2.0,0.8,-45.1,28,SL -42.8% [stale]
2026-03-15T21:49:12.024Z,2zh21FFeWJFQjAw3,SUPREME,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T21:49:20.018Z,9VPjHD1SKg9fCUeb,N-CASH,475.6,26.5,452.7,26,GRADUATED 81SOL
2026-03-15T21:49:25.942Z,7FNFQow9D1b4PQFg,PIGEON,-2.0,0.2,-26.1,5,T5BAIL -23.0% @5s (peak -2.0%)
2026-03-15T21:49:26.061Z,HJHhYCUeXt4DmTA3,N,12.4,2.7,-39.0,13,BE -36.4% (peak 12.4%) [stale]
2026-03-15T21:49:28.065Z,FLozahtWf9jC8emg,N-CASH,49.3,13.6,-33.8,27,TRAIL -54% (peak 49.3%) [stale]
2026-03-15T21:49:30.315Z,EDsfdPf76AvLRUS6,ThAIther,-2.0,5.7,-15.8,6,T5BAIL -12.3% @6s (peak -2.0%)
2026-03-15T21:49:36.089Z,5nUHvcorsAKS2R1n,Natanyuhu,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T21:49:42.474Z,2HSHgsNpo3WeSxfC,$POLYBET,2.3,2.4,-4.1,4,T5BAIL -0.0% @4s (peak 2.3%)
2026-03-15T21:49:45.449Z,3LcKqzJuiHkJVvKt,RB,-0.1,5.6,-4.1,6,T5BAIL -0.1% @6s (peak -0.1%)
2026-03-15T21:49:48.126Z,875oi1vdbn4jDAXx,TRUMPINATE,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T21:49:50.135Z,2U75FsTQLcLDmeuR,N-CASH,58.7,13.6,-43.7,27,TRAIL -63% (peak 58.7%) [stale]
2026-03-15T21:49:51.048Z,BskosTVEtxiudFfq,WARCRIME,-1.5,2.8,-6.0,5,T5BAIL -2.1% @5s (peak -1.5%)
2026-03-15T21:49:56.141Z,6tdoW3xiXFbwSZpC,N-CASH,20.8,2.8,-36.5,14,TRAIL -45% (peak 20.8%) [stale]
2026-03-15T21:49:56.145Z,GeXJ5hPyP1P58zwV,JFC,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T21:49:58.145Z,GfwiqeHJzAeHDgAp,N-CASH,-2.0,2.1,-27.3,15,SL -24.2% [stale]
2026-03-15T21:49:58.146Z,FF5Giq71LTP82ern,speedrun2,-2.0,0.0,-5.9,6,STALE_FEED
2026-03-15T21:50:01.506Z,37TEQU948vTWn7Gk,MJTKOP,-1.3,4.3,-5.3,4,T5BAIL -1.3% @4s (peak -1.3%)
2026-03-15T21:50:22.236Z,3WKjQLPiBvyQETzu,THA,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T21:50:30.258Z,4Ww6aPTHvQR3Z9R4,SolChan,-2.0,1.5,-5.9,12,STALE_FEED
2026-03-15T21:50:32.267Z,BsyCt5ozBjmzp46M,SYMPHONY,0.9,0.1,-24.5,9,SL -21.3% [stale]
2026-03-15T21:50:34.206Z,BRosDUbjMq9cWRDx,CAT,1.2,2.4,-5.1,4,T5BAIL -1.1% @4s (peak 1.2%)
2026-03-15T21:50:38.285Z,GY57ovEzmuKzSb55,N-CASH,4.6,0.2,-5.9,31,STALE_FLAT
2026-03-15T21:50:42.300Z,BLopdgoQsP61Byrw,N-CASH,-2.0,0.0,-5.9,6,STALE_FEED
2026-03-15T21:50:46.313Z,JDrRUZ1YDwrtfdey,N-CASH,-2.0,0.2,-24.2,71,SL -20.9% [stale]
2026-03-15T21:50:47.977Z,4qSePVq771L7fHU4,Sonny,1.3,2.1,-5.9,5,T5BAIL -2.0% @5s (peak 1.3%)
2026-03-15T21:50:48.317Z,HNef749FZ8Dxw4i3,N-CASH,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T21:50:50.328Z,51i44d2KPNXkMyJ8,CELEBLUS,36.0,41.1,-8.9,58,TRAIL -30% (peak 36.0%) [stale]
2026-03-15T21:50:52.333Z,ETRhYxooHoJUNeSG,LOCK,8.5,0.1,-8.9,13,BE -5.0% (peak 8.5%) [stale]
2026-03-15T21:50:53.413Z,7TfBYGBC92d9HukF,Entropy,-2.0,6.8,-30.7,7,T5BAIL -27.7% @7s (peak -2.0%)
2026-03-15T21:50:58.007Z,3d2ctTdEgHqwprj7,BAG,-1.6,4.4,-5.6,4,T5BAIL -1.6% @4s (peak -1.6%)
2026-03-15T21:51:01.789Z,H7wUQ8a2ozjoyECL,USvsRU,-1.8,1.6,-6.0,6,T5BAIL -2.0% @6s (peak -1.8%)
2026-03-15T21:51:04.205Z,Eb8gUmGGrsMTZY34,N-CASH,-1.8,0.7,-42.3,4,T5BAIL -39.8% @4s (peak -1.8%)
2026-03-15T21:51:04.375Z,4EeeSrCGWgUobYLH,$XIACASH,-1.8,0.3,-6.0,19,STALE_FLAT
