timestamp,mint,ticker,marketCapSol,devHoldingPct,uniqueBuyers,buyCount,sellCount,buyVolSOL,avgBuySize,priceChangePct,momentum,buyToSellRatio,buyVelocity,devSold,bundled,tokenAgeSec,priceAtSnipe,entryPrice,exitPrice,pnlSol,pnlPct,peakPct,exitReason,holdTimeSec,mode,deployerTier,avgBuyIntervalMs,lastBuyAgoMs,devRebuy,topHolderPct,top5HolderPct,devWallet,uniqueWallets,liquiditySOL,risk,tradeCount,bundleCount,tradeId,ledgerCost,ledgerReceived,realizedSource,dataQuality,entryScore,entryReasons,entryBlockedReasons,mfePct,maePct,timeToMFESec,timeToMAESec,pnlAt5s,pnlAt10s,buyersAt10s,buyersAt30s,buyVolAt10s,sellVolAt10s,devFirstSellAgeSec,devNetFlowSOL,devExitedCompletely,isReentry,reentryFromTradeId,reentryOriginalPeak
2026-03-15T22:56:41.339Z,AFb7SBtZZj2oG67B,Bobby,39.42,9.6,0,0,1,0.000,0.000,16.8,flat,0,0,N,N,5,3.941930827619929e-8,4.0207694441723275e-8,2.8714607911777082e-8,-0.0472,-31.5,-1.960784313725492,SL -28.6% [stale],7,DATA_GATHER,B,,99999,N,0.0,0.0,G7NvZKjoVqBDWciS,1,35.62,HIGH,1,0,AFb7SBtZZj2oG67B_mmscte9n_12vix1,0.1500,0.0000,execution_log,63,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-9.9,-30.5,0.0,1.8,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T22:56:47.110Z,E9x2VPNMjs7rNZqL,MoonNigga,45.86,3.4,1,1,0,0.032,0.032,53.7,flat,99,1,N,N,0,4.5856973057840075e-8,4.6774112518996875e-8,4.6439663687443734e-8,-0.0071,-4.7,-0.7150297751075613,T5BAIL -0.7% @5s (peak -0.7%),4,DATA_GATHER,B,,,N,100.0,100.0,pwZ5jRsFKyPGhgcS,1,38.42,MED,1,0,E9x2VPNMjs7rNZqL_mmsctipy_3cfshk,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-0.7,-1.9,4.7,0.1,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T22:56:45.894Z,BevE3NCkwJ3VCRjj,AGENT,27.96,0.0,0,0,1,0.000,0.000,-0.0,flat,0,0,Y,N,2,2.7958993476234855e-8,2.8518173345759554e-8,2.7958993476234855e-8,-0.0089,-5.9,-1.9607843137254963,STALE_FEED,7,DATA_GATHER,B,,99999,N,0.0,0.0,5dLyCvdjpyiBQaBn,1,30.00,MED,1,0,BevE3NCkwJ3VCRjj_mmscths6_msg2wa,0.1500,0.0000,execution_log,63,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000,0.000,1.6,-0.0001,Y,N,,0
2026-03-15T22:56:47.146Z,9u3s8Ckp2D2G7MXo,AGENT,27.96,0.0,0,0,1,0.000,0.000,-0.0,flat,0,0,Y,N,2,2.7958993476234855e-8,2.8518173345759554e-8,2.7958993476234855e-8,-0.0089,-5.9,-1.9607843137254963,STALE_FEED,6,DATA_GATHER,B,,99999,N,0.0,0.0,5dLyCvdjpyiBQaBn,1,30.00,MED,1,0,9u3s8Ckp2D2G7MXo_mmsctiqy_qduetq,0.1500,0.0000,execution_log,63,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000,0.000,1.6,-0.0001,Y,N,,0
2026-03-15T22:56:38.145Z,7TF5pki6F7thCtvp,Dindim,30.07,3.0,1,1,0,0.248,0.248,1.6,flat,99,1,N,N,0,3.0067904545090845e-8,3.066926263599266e-8,3.016656585976627e-8,-0.0084,-5.6,-0.03334939629059426,STALE_FLAT,19,DATA_GATHER,B,,,N,100.0,100.0,36aYLZsHLBTgdy3M,1,31.11,MED,1,0,7TF5pki6F7thCtvp_mmsctbsx_nefwu6,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-0.0,-1.6,2.1,8.3,-1.6,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T22:56:51.472Z,E3RgLY7skSkM2ssm,MERT,37.09,6.6,1,1,0,0.008,0.008,16.8,flat,99,1,N,N,0,3.708581772454153e-8,3.782753407903236e-8,3.708581772454153e-8,-0.0089,-5.9,-1.6768293038624533,T5BAIL -2.0% @8s (peak -1.7%),7,DATA_GATHER,B,,,N,100.0,100.0,Bjkpv4uv6WnrJvna,1,34.55,HIGH,1,0,E3RgLY7skSkM2ssm_mmsctm34_t78kav,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-1.7,-2.0,3.5,7.7,-2.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T22:56:57.856Z,DmWEXyVm9PxiB3tf,MERT,37.16,11.2,1,1,0,0.099,0.099,6.6,flat,99,1,N,N,0,3.716124358656654e-8,3.790446845829787e-8,2.7969363093026803e-8,-0.0438,-29.2,0.1488798036149509,T5BAIL -26.2% @7s (peak 0.1%),6,DATA_GATHER,B,,,N,100.0,100.0,9wRuFPJZFviuHv9q,1,34.59,HIGH,1,0,DmWEXyVm9PxiB3tf_mmsctr0g_y3ujvw,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,0.1,-26.2,0.0,7.0,-26.2,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T22:56:29.440Z,2ZtCgatbede1z9L4,NGX,51.45,15.3,1,1,0,0.198,0.198,35.2,flat,99,1,N,N,0,5.1453526507096424e-8,5.2482597037238356e-8,2.813718010445644e-8,-0.0729,-48.6,71.67114782228352,TRAIL -69% (peak 71.7%) [stale],35,DATA_GATHER,B,,,N,100.0,100.0,whamNNP9tHoxLg92,1,40.70,SCAM,1,0,2ZtCgatbede1z9L4_mmsct534_ofohes,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|DEV_RISK|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,71.7,-46.4,10.1,30.4,8.1,62.4,36,7,28.415,16.461,,0.0000,N,N,,0
2026-03-15T22:57:03.324Z,3zgNuF8dHGvW1ETR,MLP,27.98,0.0,1,1,0,0.010,0.010,0.1,flat,99,0.08,N,N,13,2.7979090737920427e-8,2.8538672552678837e-8,2.7979090737920427e-8,-0.0089,-5.9,-1.9607843137254939,STALE_FEED,7,DATA_GATHER,B,,,N,100.0,100.0,CT3JKCHQTm6KY932,1,30.01,MED,1,0,3zgNuF8dHGvW1ETR_mmsctv8c_o83pow,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T22:56:07.146Z,BdiknpKMrJEnPm7V,TITO,31.62,1.8,1,1,0,1.405,1.405,9.4,flat,99,1,N,N,0,3.1622077241280324e-8,3.225451878610593e-8,5.0630262538728533e-8,0.0760,50.7,111.76558590103267,TRAIL -26% (peak 111.8%) [stale],68,DATA_GATHER,B,,,N,100.0,100.0,8KbRruHRv29erDD5,1,31.90,MED,1,0,BdiknpKMrJEnPm7V_mmscsnvu_th0wxe,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,111.8,23.8,5.1,0.0,98.9,88.1,24,23,10.841,10.215,,0.0000,N,N,,0
2026-03-15T22:54:59.449Z,6dCr5nqRKXhCzP8c,MLP,32.82,5.0,1,1,0,1.021,1.021,6.6,flat,99,1,N,N,1,3.2817231746812214e-8,3.347357638174846e-8,5.844234669187727e-8,0.1014,67.6,157.68967228821097,TRAIL -32% (peak 157.7%) [stale],137,DATA_GATHER,B,,,N,100.0,100.0,AwocBKz9VgoF9mwi,1,32.50,HIGH,1,0,6dCr5nqRKXhCzP8c_mmscr7nd_tdh09d,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,157.7,3.9,56.3,0.0,41.6,47.2,24,28,13.265,4.924,,0.0000,N,N,,0
2026-03-15T22:57:03.664Z,3tNPc4TxmbGi4abZ,NGX,42.33,15.2,1,1,0,1.975,1.975,11.6,flat,99,1,N,N,0,4.233030153315385e-8,4.317690756381693e-8,4.2332566727064633e-8,-0.0089,-5.9,-1.955538004903043,STALE_FEED,13,DATA_GATHER,B,,,N,100.0,100.0,bwamJzztZsepfkte,1,36.91,SCAM,1,0,3tNPc4TxmbGi4abZ_mmsctvhs_o4cd2n,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-2.0,-2.0,0.3,0.3,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T22:57:18.156Z,45jrFFLxfc4sxsFv,teen,41.93,15.2,1,1,0,1.800,1.800,10.6,flat,99,1,N,N,0,4.1929189200863396e-8,4.276777298488067e-8,3.9064936432489715e-8,-0.0185,-12.4,2.9271612301248693,T5BAIL -8.7% @4s (peak 2.9%),4,DATA_GATHER,B,,,N,100.0,100.0,EMHvwpkGW8YpgZmd,1,36.74,SCAM,1,0,45jrFFLxfc4sxsFv_mmscu6oc_alg2mp,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,2.9,-8.7,0.8,4.3,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T22:57:36.433Z,BdiknpKMrJEnPm7V,TITO,51.16,1.8,23,23,2,10.614,0.461,77.0,up,2.34,0.26,N,N,89,5.115757484221323e-8,5.2180726339057496e-8,4.897387769268565e-8,-0.0149,-9.9,-1.9358641152740819,T5BAIL -6.1% @5s (peak -1.9%),4,DATA_GATHER,B,11200,,N,22.1,86.4,8KbRruHRv29erDD5,39,40.58,LOW,182,0,BdiknpKMrJEnPm7V_mmscsnvu_th0wxe,0.1500,0.0000,execution_log,100,0,MOMENTUM|LIQUIDITY|HOLDER_QUALITY|NO_BUNDLE|DEV_OK|TRADES|FLOW|AGE_WINDOW|ENTRY_IMPACT_OK,LOW_SCORE,-1.9,-6.1,0.6,4.7,0.0,0.0,0,0,0.000,0.000,,0.0000,N,Y,BdiknpKMrJEnPm7V_mmscsnvu_th0wxe,111.76558590103267
