timestamp,mint,ticker,tradeId,mode,event,watchAgeSec,sinceExitPct,exitPrice,currentPrice,oldPeakPct,newPeakPct,momentum,momentumStreak,uniqueBuyers,buyCount,sellCount,buyVolSOL,buyToSellRatio,recentBuyCount,recentBuyVol,recentSellVol,buyPressure,buyAccelerating,priceChangePct,liquiditySOL,risk,deployerTier,wouldReenter,bestReentryPct,reentryAtBullRestartPct,reentryAtReclaim10Pct,reentryAtReclaim25Pct,reentryAtReclaim50Pct,reentryOutcome30s,reentryOutcome60s,reentryOutcome120s
2026-03-15T21:47:59.823Z,5t8MQWAgsBRnJcke,UNITY,5t8MQWAgsBRnJcke_mmsacyol_fhq3ta,DATA_GATHER,RECLAIM_10,0.0,12.5,3.355128783367705e-8,3.775139163391372e-8,-1.9,12.5,up,2,7,7,3,4.390,1.76,7,4.390,2.493,Y,Y,11.8,34.86,MED,B
2026-03-15T21:47:59.824Z,5t8MQWAgsBRnJcke,UNITY,5t8MQWAgsBRnJcke_mmsacyol_fhq3ta,DATA_GATHER,BULL_RESTART,0.0,19.0,3.355128783367705e-8,3.99191977823166e-8,-1.9,19.0,up,3,8,8,3,5.376,2.16,8,5.376,2.493,Y,Y,18.3,35.85,MED,B
2026-03-15T21:48:00.002Z,5t8MQWAgsBRnJcke,UNITY,5t8MQWAgsBRnJcke_mmsacyol_fhq3ta,DATA_GATHER,RECLAIM_25,0.2,27.7,3.355128783367705e-8,4.284440144742162e-8,-1.9,27.7,up,5,10,10,3,6.667,2.67,10,6.667,2.493,Y,N,26.9,37.14,MED,B
2026-03-15T21:48:38.385Z,MvdRMKCNjvT3mBq5,N-CASH,MvdRMKCNjvT3mBq5_mmsadvmd_u5ki8q,DATA_GATHER,BULL_RESTART,0.2,5.8,2.672426007230313e-7,2.827134909928799e-7,-2.0,5.8,up,3,4,4,0,3.647,99.00,4,3.647,0.000,Y,N,837.2,95.40,MED,B
2026-03-15T21:48:38.637Z,MvdRMKCNjvT3mBq5,N-CASH,MvdRMKCNjvT3mBq5_mmsadvmd_u5ki8q,DATA_GATHER,RECLAIM_10,0.5,14.1,2.672426007230313e-7,3.0479699431635275e-7,-2.0,14.1,up,6,7,7,0,8.094,99.00,7,8.094,0.000,Y,Y,910.4,99.05,LOW,B
2026-03-15T21:48:38.746Z,MvdRMKCNjvT3mBq5,N-CASH,MvdRMKCNjvT3mBq5_mmsadvmd_u5ki8q,DATA_GATHER,RECLAIM_25,0.6,26.6,2.672426007230313e-7,3.38295532653554e-7,-2.0,26.6,up,2,12,12,0,14.129,99.00,12,14.129,0.000,Y,Y,1021.4,104.35,LOW,B
2026-03-15T21:48:38.804Z,MvdRMKCNjvT3mBq5,N-CASH,MvdRMKCNjvT3mBq5_mmsadvmd_u5ki8q,DATA_GATHER,RECLAIM_50,0.6,53.7,2.672426007230313e-7,4.108801681200643e-7,-2.0,53.7,up,3,13,13,0,24.780,99.00,13,24.780,0.000,Y,N,1262.1,115.01,LOW,B
2026-03-15T21:48:41.521Z,91vPfvx8AzzdZsVW,Twinkle,91vPfvx8AzzdZsVW_mmsad64k_2nym3f,DATA_GATHER,RECLAIM_10,17.6,10.1,4.243609712992073e-8,4.6739731913548516e-8,35.5,10.1,up,1,15,15,0,10.731,99.00,2,1.541,0.000,Y,N,23.3,38.79,HIGH,B
2026-03-15T21:48:43.795Z,91vPfvx8AzzdZsVW,Twinkle,91vPfvx8AzzdZsVW_mmsad64k_2nym3f,DATA_GATHER,BULL_RESTART,19.9,13.0,4.243609712992073e-8,4.793766008690968e-8,35.5,13.0,up,3,15,17,0,11.225,99.00,4,2.035,0.000,Y,Y,26.4,39.28,SCAM,B
2026-03-15T21:48:58.019Z,Bo6dKpB9c6VYVkV5,FACE,Bo6dKpB9c6VYVkV5_mmsadm2i_yhoo8i,DATA_GATHER,BULL_RESTART,27.8,-0.1,2.8290187443914262e-8,2.8270201194293535e-8,-1.4,0.7,up,3,2,10,0,0.333,99.00,4,0.082,0.000,Y,Y,-0.2,30.17,HIGH,B
2026-03-15T21:49:20.053Z,9VPjHD1SKg9fCUeb,N-CASH,9VPjHD1SKg9fCUeb_mmsae7jw_10hmwz,DATA_GATHER,BULL_RESTART,0.0,11.2,1.9870887792313207e-7,2.2103662329735333e-7,475.6,11.2,up,3,25,32,18,28.746,4.51,32,28.746,6.370,Y,Y,553.4,84.35,HIGH,B
2026-03-15T21:49:20.053Z,9VPjHD1SKg9fCUeb,N-CASH,9VPjHD1SKg9fCUeb_mmsae7jw_10hmwz,DATA_GATHER,RECLAIM_10,0.0,11.2,1.9870887792313207e-7,2.2103662329735333e-7,475.6,11.2,up,3,25,32,18,28.746,4.51,32,28.746,6.370,Y,Y,553.4,84.35,HIGH,B
2026-03-15T21:49:32.212Z,EdQwQPEjZRoGTRn7,MTW COIN,EdQwQPEjZRoGTRn7_mmsacyzj_fj6c6h,DATA_GATHER,BULL_RESTART,91.7,4.3,2.80099581045803e-8,2.92085102222076e-8,-1.9,4.8,up,3,3,23,4,1.182,2.74,6,0.301,0.110,Y,Y,4.1,30.66,MED,B
2026-03-15T21:49:44.825Z,2HSHgsNpo3WeSxfC,$POLYBET,2HSHgsNpo3WeSxfC_mmsaf61a_k8b4sc,DATA_GATHER,RECLAIM_OLD_PEAK,2.4,4.6,2.988095210888857e-8,3.1254713650382776e-8,2.3,4.6,up,1,1,5,3,1.366,2.15,5,1.366,0.635,Y,N,4.8,31.72,HIGH,B
2026-03-15T21:49:53.379Z,76aacPLUfrSxG2ny,PIGEON,76aacPLUfrSxG2ny_mmsae7om_opygav,DATA_GATHER,RECLAIM_OLD_PEAK,47.4,7.6,2.981120584029745e-8,3.207242494194949e-8,4.5,7.6,up,1,3,3,1,2.037,1.08,2,1.059,0.978,N,Y,7.4,32.13,LOW,B
2026-03-15T21:49:53.387Z,76aacPLUfrSxG2ny,PIGEON,76aacPLUfrSxG2ny_mmsae7om_opygav,DATA_GATHER,RECLAIM_10,47.4,14.8,2.981120584029745e-8,3.4221312038898386e-8,4.5,14.8,up,2,4,4,1,3.096,2.17,3,2.118,0.978,Y,Y,14.6,33.19,LOW,B
2026-03-15T21:50:00.435Z,EdQwQPEjZRoGTRn7,MTW COIN,EdQwQPEjZRoGTRn7_mmsacyzj_fj6c6h,DATA_GATHER,RECLAIM_10,119.9,32.2,2.80099581045803e-8,3.7024791803908785e-8,-1.9,32.2,up,1,2,18,4,0.819,0.69,2,0.293,0.424,N,N,31.9,34.52,LOW,B
2026-03-15T21:50:00.436Z,EdQwQPEjZRoGTRn7,MTW COIN,EdQwQPEjZRoGTRn7_mmsacyzj_fj6c6h,DATA_GATHER,RECLAIM_25,119.9,32.2,2.80099581045803e-8,3.7024791803908785e-8,-1.9,32.2,up,1,2,18,4,0.819,0.69,2,0.293,0.424,N,N,31.9,34.52,LOW,B
2026-03-15T21:50:00.869Z,3LcKqzJuiHkJVvKt,RB,3LcKqzJuiHkJVvKt_mmsaf797_ut5gz4,DATA_GATHER,BULL_RESTART,15.4,-0.8,2.8944783236597107e-8,2.8710268375373447e-8,-0.1,-0.8,up,3,1,8,1,0.345,9.05,4,0.041,0.005,Y,Y,1.2,30.40,HIGH,B
2026-03-15T21:50:10.802Z,BskosTVEtxiudFfq,WARCRIME,BskosTVEtxiudFfq_mmsafbse_58zrxg,DATA_GATHER,BULL_RESTART,19.8,2.5,2.8477828531968504e-8,2.919744131182832e-8,-1.5,2.5,up,3,2,9,2,0.785,2.40,6,0.664,0.277,Y,Y,2.7,30.66,HIGH,B
2026-03-15T21:50:27.998Z,BskosTVEtxiudFfq,WARCRIME,BskosTVEtxiudFfq_mmsafbse_58zrxg,DATA_GATHER,RECLAIM_10,37.0,11.7,2.8477828531968504e-8,3.182125758723752e-8,-1.5,11.7,up,3,3,19,4,3.931,1.55,6,2.138,1.376,Y,Y,12.0,32.01,HIGH,B
2026-03-15T21:50:33.291Z,76aacPLUfrSxG2ny,PIGEON,76aacPLUfrSxG2ny_mmsae7om_opygav,DATA_GATHER,RECLAIM_25,87.3,28.7,2.981120584029745e-8,3.8372739273557776e-8,4.5,28.7,up,4,4,6,0,5.051,99.00,2,1.956,0.000,Y,N,28.5,35.15,LOW,B
2026-03-15T21:50:34.936Z,76aacPLUfrSxG2ny,PIGEON,76aacPLUfrSxG2ny_mmsae7om_opygav,DATA_GATHER,BULL_RESTART,88.9,39.9,2.981120584029745e-8,4.1718095758256493e-8,4.5,39.9,up,5,5,7,0,6.551,99.00,3,3.456,0.000,Y,Y,39.7,36.65,LOW,B
2026-03-15T21:50:40.494Z,76aacPLUfrSxG2ny,PIGEON,76aacPLUfrSxG2ny_mmsae7om_opygav,DATA_GATHER,RECLAIM_50,94.5,50.2,2.981120584029745e-8,4.478698357118346e-8,4.5,50.2,up,2,9,11,1,8.099,22.34,7,5.004,0.224,Y,Y,50.0,37.97,LOW,B
2026-03-15T21:50:49.764Z,BRosDUbjMq9cWRDx,CAT,BRosDUbjMq9cWRDx_mmsag9zs_8v69tt,DATA_GATHER,RECLAIM_OLD_PEAK,15.6,1.8,3.020498157194238e-8,3.0740340722821195e-8,1.2,1.8,up,2,2,7,1,1.027,1.83,3,0.381,0.208,Y,Y,3.1,31.46,MED,B
2026-03-15T21:51:03.945Z,H7wUQ8a2ozjoyECL,USvsRU,H7wUQ8a2ozjoyECL_mmsagu7p_zw8ja9,DATA_GATHER,BULL_RESTART,2.2,0.9,2.8110986547883924e-8,2.8356169507853887e-8,-1.8,0.9,up,3,2,6,4,0.167,3.04,6,0.167,0.055,Y,Y,0.7,30.21,HIGH,B
2026-03-15T21:51:09.819Z,4qSePVq771L7fHU4,Sonny,4qSePVq771L7fHU4_mmsagjot_5npt1u,DATA_GATHER,BULL_RESTART,21.8,-1.0,4.0613966362110196e-8,4.019160068230321e-8,1.3,0.3,up,3,8,8,0,4.220,99.00,4,3.956,0.000,Y,Y,22.5,35.97,MED,B
2026-03-15T21:51:09.913Z,4qSePVq771L7fHU4,Sonny,4qSePVq771L7fHU4_mmsagjot_5npt1u,DATA_GATHER,RECLAIM_OLD_PEAK,21.9,2.7,4.0613966362110196e-8,4.1715886376109685e-8,1.3,2.7,up,4,8,9,0,4.895,99.00,5,4.632,0.000,Y,N,27.1,36.64,MED,B
2026-03-15T21:51:09.939Z,4qSePVq771L7fHU4,Sonny,4qSePVq771L7fHU4_mmsagjot_5npt1u,DATA_GATHER,RECLAIM_10,22.0,10.0,4.0613966362110196e-8,4.468066189407612e-8,1.3,10.0,up,6,8,11,0,6.175,99.00,7,5.912,0.000,Y,Y,36.2,37.92,MED,B
2026-03-15T21:51:21.351Z,BskosTVEtxiudFfq,WARCRIME,BskosTVEtxiudFfq_mmsafbse_58zrxg,DATA_GATHER,RECLAIM_25,90.3,29.2,2.8477828531968504e-8,3.679123376012964e-8,-1.5,29.2,up,2,3,26,4,13.089,2.56,6,3.000,1.173,Y,Y,29.5,34.41,MED,B
2026-03-15T21:51:43.476Z,BskosTVEtxiudFfq,WARCRIME,BskosTVEtxiudFfq_mmsafbse_58zrxg,DATA_GATHER,RECLAIM_50,112.4,53.0,2.8477828531968504e-8,4.3574797295807764e-8,-1.5,53.0,up,2,3,27,1,17.074,8.11,3,2.237,0.276,Y,N,53.3,37.45,HIGH,B
2026-03-15T21:51:44.348Z,54u5QEd1J1i93Ntq,DB,54u5QEd1J1i93Ntq_mmsahret_f9wmsu,DATA_GATHER,BULL_RESTART,0.8,0.0,3.015223912216373e-8,3.0161918203617876e-8,-0.9,0.0,up,11,6,6,0,0.171,99.00,6,0.171,0.000,Y,N,1.1,31.16,MED,B
2026-03-15T21:51:47.315Z,54u5QEd1J1i93Ntq,DB,54u5QEd1J1i93Ntq_mmsahret_f9wmsu,DATA_GATHER,RECLAIM_10,3.7,10.8,3.015223912216373e-8,3.3397976441563845e-8,-0.9,10.8,up,23,7,13,0,1.338,99.00,13,1.338,0.000,Y,Y,12.0,32.79,MED,B
2026-03-15T21:51:59.982Z,AZfLHwt5oaSsMjHv,Eggburt,AZfLHwt5oaSsMjHv_mmsahevg_srbvh7,DATA_GATHER,RECLAIM_10,1.4,10.1,5.23622465587902e-8,5.7650083268707895e-8,61.4,10.1,up,9,27,29,21,7.394,0.68,29,7.394,10.913,N,Y,56.4,43.08,MED,B
2026-03-15T21:52:02.256Z,AZfLHwt5oaSsMjHv,Eggburt,AZfLHwt5oaSsMjHv_mmsahevg_srbvh7,DATA_GATHER,RECLAIM_25,3.7,27.6,5.23622465587902e-8,6.680405264338555e-8,61.4,27.6,flat,0,27,28,22,9.795,0.92,28,9.795,10.672,N,Y,81.3,46.37,MED,B
