timestamp,devWallet,ticker,outcome,pnlSol,peakPct,launches,dead,alive,tier
2026-03-16T03:37:52.915Z,7e4QEu7PTT8UB9MFVyuh1AcGFeXgLDpMtc1zWx7b873v,AGENT,alive,0.0610,37.8,1,0,0,B
2026-03-16T03:38:40.430Z,Hssk6qusiviYGKqnYG3iexuSUHG3eksq5XiiqyBRRWfm,MXC,dead,-0.0149,-1.0,1,0,0,B
2026-03-16T03:38:57.868Z,8ZN71XTdVo8yRovnGLmNgW3Tgniw6A4J3JGLvPD686FP,IMAGINE,dead,-0.0228,-0.6,5,0,0,B
2026-03-16T03:39:53.795Z,991Mi3sGxGCxVsBnRTYBGwxKxNXxMksyMFo85cqxsuML,Bubbles ,alive,0.0500,30.6,1,0,0,B
2026-03-16T03:43:59.669Z,FoRyqQ9uLh9RSQMcah14HWerpLzcZ3QXTXb76qQJr9nC,LSD,alive,0.0119,23.0,1,0,0,B
2026-03-16T03:44:06.003Z,AYEHKbGooTCishm755ArC88YZPJ29Rfh3b4q2hpyJPAQ,Salary,dead,-0.0118,-2.0,1,0,0,B
2026-03-16T03:44:29.474Z,EFaQQTGywnD4CjQQvTugUiyVT4LV9G6MsWqiub8X6unN,AI,alive,-0.0069,5.1,15,0,0,B
2026-03-16T03:44:55.059Z,Borz4BKWSkG47Wf5CknFEohrFYYDPyMNHUsSmj4btWu5,GIGAMUSK,dead,-0.0206,-2.0,1,0,0,B
2026-03-16T03:45:19.281Z,FoRyqQ9uLh9RSQMcah14HWerpLzcZ3QXTXb76qQJr9nC,LSD,alive,0.0439,32.5,1,0,0,B
2026-03-16T03:46:39.099Z,D9gQ6RhKEpnobPBUdWY5bPQt2p3zGk3iVz6ChpUi2ArA,MINT,dead,-0.0223,-2.0,8,0,0,B
2026-03-16T03:48:33.924Z,7e4QEu7PTT8UB9MFVyuh1AcGFeXgLDpMtc1zWx7b873v,MINT,alive,-0.0177,11.2,2,0,0,B
2026-03-16T03:49:03.902Z,DwyEawtMyDDVFxgLvaLrDkbQYi8hTb6YWgrpJCKB6UVC,imagine,dead,-0.0236,-0.3,11,0,1,B
2026-03-16T03:55:27.593Z,991Mi3sGxGCxVsBnRTYBGwxKxNXxMksyMFo85cqxsuML,imagine,dead,-0.0165,2.8,2,0,0,B
2026-03-16T03:56:54.644Z,2VRuBqjQA5Cx4niv54aAQ2k5KtMooxmqYZBzeSCfTycN,vibes,alive,-0.0135,14.2,12,1,1,B
2026-03-16T03:57:08.696Z,AJPohDJcBwNDBpmXf2RavPe4AvAtWES6icfESXXGer8m,Glowcat,dead,-0.0205,4.8,1,0,0,B
2026-03-16T03:59:47.180Z,6z51o3BNbYLJTL7SeGeHJQNpoc7rcWt8f6mzUg533uYe,Grok,alive,-0.0118,5.3,7,0,0,B
2026-03-16T04:00:54.382Z,6ZuDVhVX1bLekmkGL5qER3swup6jZfJGDtrp4kkJAem1,6,alive,0.0988,59.3,2,0,0,B
2026-03-16T04:01:07.930Z,HVabKF8DXszhBL8GYmzX6JRCgYuQFGX73o2P9FSUoNvc,HERRMANN,dead,-0.0395,-1.9,8,1,5,A
2026-03-16T04:03:02.440Z,D26dzW9FdFoE52sUtqLitrheDaNHPQYhbJT3AHmM6cM8,toly,alive,-0.0162,9.0,1,0,0,B
2026-03-16T04:04:48.924Z,9k7yzhLryZcGvJTuiEp9JaUmcXHvChAAtD7zJe8WvYr8,SIX,alive,0.0074,21.9,1,0,0,B
